경력,주요 업무,자격 요건,우대사항,기술
"신입, 경력","【 오시면 이런 업무를 하게 되실 거예요! 】

• 패스오더 프론트엔드 개발자는 다양한 랜딩페이지, 네이티브 앱과 연계되는 서비스의 새로운 기능들을 개발해요.
• 서비스 운영, 백오피스 개발 등 패스오더 서비스 운영 효율화를 위한 개발을 진행해요.
• 패스오더 사용자들이 최고의 경험을 할 수 있도록 웹 페이지 및 내부 백오피스를 개발해요.
• React, TypeScript를 사용하여 빠르고 지속 가능하며 버그에 잘 대응할 수 있는 서비스 구현 및 최적화를 진행해요.
　
【 개발환경 】

• 사용언어: TypeScript, JavaScript, HTML, CSS
• 개발환경 및 도구: Angular, React, Sass, Webpack, Npm, Git, Docker","• React, Angular 사용에 능숙하신 분
• HTML, CSS, JavaScript, 그리고 TypeScript에 대해 이해하고 계신 분
• 동료와 다양한 학습 내용을 공유하고 서로 도움을 주고 받으며 함께 기술적으로 성장하고자 하는 마인드를 가진 분
• 단순히 주어진 개발을 해내는 것보다, 주도적으로 문제를 발견하고 분석해 솔루션을 제안할 수 있는 분","• 반응형 디자인, 웹 접근성, 웹 표준을 고려한 UI/UX 개발 경험 있으신 분
• 테스트 코드 작성에 익숙하고 코드 리뷰 문화를 지향하는 분
• 요구사항 분석 및 다른 개발자와 협업을 위한 원활한 커뮤니케이션 능력을 가지신 분
• 성능 이슈, 메모리 누수, 네트워크 프로파일링 경험이 있으신 분",Git. Flask. Python. AWS. Jenkins. Docker. PostgreSQL. IntelliJ IDEA. Kubernetes
신입,"[주요업무]
• 웹 프론트엔드 개발 (React)
• 어플리케이션 개발 (React Native / Flutter / Native / Electron)

[개발환경]
• 개발 언어 : Javascript, Typescript, Dart
• 주요 Framework : React, Flutter, Electron, Android, iOS","• HTML, CSS, Javascript, 자료구조, 알고리즘 기초지식 보유
• React 또는 Vue 프레임워크 유경험자","• Typescript, Flow타입 같은 type 기반 시스템에서의 개발지식
• Redux,mobx와 같은 state manamement framework 개발지식
• react-query, swr와 같은 network caching 라이브러리 사용 경험
• 컴퓨터 관련 전공",
신입,"• React, React Native로 앱, 웹 개발
• API 개발 및 유지보수
• 시스템 성능 개선 및 문제 해결","• 기술과 제품에 대한 깊은 열정
• 탄탄한 컴퓨터 공학 지식
• 프론트엔드 기술에 대한 지식 및 경험
• 문제 해결 능력과 팀 협업 능력","• 해킹 경험이 있는 분
• 기발한 프로젝트 경험이 있는 분","React.js, React Native"
"신입, 경력","• 웹 애플리케이션의 프론트엔드 개발 및 유지보수
• 사용자 경험을 고려한 UI/UX 설계 및 구현
• 다양한 디바이스와 브라우저에서의 호환성 확보","• JavaScript 및 TypeScript에 대한 깊은 이해
• Vue.js 또는 React 프레임워크 사용 경험
• Tailwind CSS(Vue.js) 또는 styled-components(React) 활용 능력","• Docker 및 Kubernetes 환경에서의 개발 경험
• 클라우드 환경에서의 작업 경험
• UI/UX 디자인에 대한 이해와 관심","Asana, Confluence, JIRA, Slack, React, JavaScript, TypeScript, Docker, Vue.js"
"신입, 경력","• DSP/RMP 플랫폼의 콘솔 페이지 개발 (기능을 쉽고 빠르게 활용할 수 있도록 UI/UX 설계, 개발)
• 광고 집행/운영에 관련된 백오피스 페이지 구축/유지 보수
• 광고 송출 과정에서 다양한 형태의 광고를 서빙하기 위한 스크립트 검토/작성","• 모던 웹 개발(React, Vue 등) 경험과 역량을 갖춘 분
• HTML, CSS, JavaScript에 깊은 이해를 갖고 계신 분
• Typescript 사용 경험이 있는 분
• react-query, zustand 등 상태 관리 라이브러리의 동작을 이해하거나 사용 경험이 있는 분
• 다양한 직군(기획/디자이너/개발)과의 협업 경험이 있고, 의사소통 능력이 뛰어나신 분","• 컴퓨터 관련 전공자 또는 그에 상응하는 지식을 보유한 분
• AWS 상에서의 인프라 구축 및 운영 경험이 있는 분 (ex. ECS, CloudFront, Amplify)
• 모노레포를 활용한 프로젝트 관리 및 개발 경험이 있는 분
• Next.js를 활용한 서버 사이드 렌더링(SSR) 개발 경험이 있는 분
• 디자인 시스템 개발 경험이 있으신 분
• 테스트 및 배포 자동화 경험이 있는 분
• 웹 접근성, 웹 표준, 반응형 디자인을 고려한 UI 개발 경험이 있는 분",
신입,"• 엔지니어는 단순히 구현하는 사람이 아닙니다. 제품이 만들어지고 사라지는 전과정에 함께 하고 서비스에 대한 오너십을 가집니다.
• 데이터와 인터뷰를 통해, 유저관점에서 가치있는 디자인이 구현될 수 있도록 코드를 작성합니다.
• PO, 디자이너, 데이터분석가와 긴밀하게 협업하며 더 좋은 결과물을 위해 서로를 챌린지합니다.
• 무수히 많은 가설 설정과 실험을 진행합니다. 이를 위해 오버엔지니어링을 하지 않고 빠르게 구현하고 결과를 확인할 수 있어야 합니다.
• 직접 사용자가 되어 개발 개선사항을 주도적으로 찾아냅니다.","• React, React-Native 중 하나 이상을 프로덕션에서 사용해보신 분
• 비즈니스 요건을 빠르게 이해하고 이를 구현하실 수 있는 분
• 사용자 경험에 관심이 많으신 분
• 서비스 개발을 하면서 얻게 되는 새로운 인사이트를 적극적으로 공유하실 수 있는 분
• 세상을 더 행복한 공간으로 만든다는 두잇의 비전에 깊이 있게 공감하는 분","• 프로덕션에서 웹뷰를 이용한 모바일앱 내 웹앱 개발 경험이 있으신 분
• 서버사이드 렌더링을 이용한 성능 개선 경험이 있으신 분
• 풀스택 개발 경험이 있으신 분",
신입,"ㆍNext.js 를 이용한 웹 애플리케이션 개발
ㆍ상용 서비스 사용자 단 프론트엔드 개발 및 운영
ㆍBack Office 프론트엔드 개발 및 운영
ㆍAWS 서버 배포 자동화 및 관리
ㆍ24시간 365일 유저에게 원활한 서비스 경험 제공",• 병역특례 대상자,"[실무경험]
ㆍReact query, Zustand, Recoil 등의 상태 관리 기술 사용 경험을 보유하신 분
ㆍREST API, GraphQL 등 다양한 인터페이스 사용 경험이 있으신 분
ㆍFunctional programming, OOP 등의 주요 프로그래밍 패러다임에 대한 이해가 있으신 분
ㆍ유닛 테스트와 CI 경험이 있으신 분

[서비스운영의 전문가가 되고자 하시는 분]
ㆍ서비스를 만드는 일을 좋아하시는 분
ㆍ취미로 개발하는 소프트웨어 프로젝트가 있는 경우 우대
ㆍ사용자가 개발한 서비스를 항상 원활하게 이용할 수 있도록 높은 책임감을 가지고 운영하시는 분

[팀 플레이어]
ㆍ기획자, 동료 개발자와의 원활한 커뮤니케이션 능력을 보유하고 있으신 분
ㆍ나의 성과보다 팀의 성과, 개별 팀의 성과보다 서비스 전체의 성과를 추구하시는 분

[커뮤니케이션 능력]
ㆍ전달해야 하는 정보를 글로 잘 표현하시는 분
ㆍ꾸준하게 작성하고 있는 기술 블로그가 있는 경우 우대

[개발자의 자질]
ㆍ함수나 변수 이름을 며칠에 걸쳐 열 번쯤 바꿔본 이후에 궁극의 이름을 찾아내 본 경험이 있으신 분
ㆍ중복되는 것(코드, 반복되는 일처리, 할당된 메모리 등등)을 굉장히 싫어하시는 분

[기술에 대한 흥미]
ㆍ좋아하는 오픈소스 개발자 혹은 오픈소스 프로젝트 참여 경험이 있으신 분
ㆍ개발 관련 세미나 참여 혹은 발표 경험이 있으신 분

[기술에 대한 깊이있는 이해]
ㆍ내가 하는 일 (특히 기술적인 일) 을 개발팀 외 다른 팀에게 이해하기 쉽게 설명하실 수 있는 분
ㆍIT 서비스와 관련 없는 일반인에게 쉽게 설명할 수 있는 경우 우대",
"신입, 경력","• 애드테크 솔루션 콘솔 프론트엔드 개발 담당
• 웹용 광고 SDK 개발 및 유지보수","• 컴퓨터공학, 전산학 등 직무 관련 전공자
• 유관 경력 3년 이상
• 1차 면접에서 포트폴리오 필수 제출","• 광고 솔루션 경험
• B2B 솔루션 콘솔 개발 경험
• 라이브러리 개발 경험
• SPA single page application / PWA / Server side rendering 활용 기술 보유","React, Node.js, TypeScript,AWS"
신입,"• 엘리스클라우드 플랫폼의 가상 자원 관리, 권한 관리, 대시보드, 빌링 기능 등을 설계하고, B2C 및 B2B 사용자의 요구를 만족시키는 관리자 및 사용자 포탈을 개발합니다.
• 엘리스클라우드의 온디맨드, MLAPI, 데이터허브 서비스를 고도화고, 사용자에게 최적의 UI/UX를 제공합니다.
• 엘리스 학습 플랫폼에 클라우드 기능을 통합하여 복잡한 클라우드 기반 실습 환경을 지원합니다.
• 프로덕트 디자이너 및 백엔드 엔지니어와 협력하여 효율적이면서도 사용성이 높은 웹 아키텍처를 설계하고 구현합니다.","• React 및 TypeScript 기반의 웹 프론트엔드 개발 경험
• JavaScript 생태계에 대한 깊은 이해와 HTML/CSS의 적절한 활용 경험
• CI/CD 파이프라인 구축 및 관리 경험","• 개발 스프린트 및 팀 리더로서 프로젝트 계획 및 관리 경험
• 컴퓨터공학과 또는 관련 전공 학사 학위 이상 소지자
• 해외 개발자와의 협업 경험
• iframe, module federation 등을 활용한 MSA 개발 경험
• Next.js 기반의 Server Side Rendering 개발 경험
• E2E 테스트 경험 (Jest, React Testing Library, Cypress 등)
• 데이터 시각화 도구 및 라이브러리 사용 경험


사용 중인 기술 스택
• ES6+, React 16+, TypeScript로 웹 애플리케이션 구현
• REST API를 활용한 서버와의 통신
• Emotion/MUI 기반 엘리스 디자인 시스템 활용
• Jest, React Testing Library, Cypress를 활용한 Unit/E2E 테스트 작성
• ESLint, Prettier를 통한 정적 분석 및 코드 포맷팅","React, JavaScript, TypeScript"
신입,"• 단기 구인구직 플랫폼 운영 (Web기반의 하이브리드 앱서비스)
• ""급구"" 서비스 제작 및 운영
• 자사 웹/모바일 서비스 개발","**사용하는 기술**
• 코어: React, TypeScript, Next.js, VueJs
• 상태 관리: React-Query, jotai
• 스타일링: styled-components
• 패키지 매니저: PNPM, NPM, YARN
• 빌드: Webpack, ESBuild, SWC, Babel
• CI/CD: GitHub Actions
• Monorepo

**자격요건**
• React와 TypeScript 사용에 능숙하신 분
• 주어진 개발이 아니라 주도적으로 생각해서 문제를 발견, 분석해 솔루션을 제안할 수 있는 분
• 사용하는 라이브러리가 궁금해서 내부 코드를 분석 해본 적이 있는 분
• 유저의 경험을 중요하게 생각하시는 분
• 데이터 설계와 자동화에 대해서 고민을 하시는 분","• 테스트 프레임워크 사용 경험 있으신 분
• SEO에 대한 지식이 있으신분
• 코딩하는 환경에 대한 세팅을 해보신 분
• 하이브리드 환경 경험이 있으신 분
• 코드리뷰를 꼼꼼하게 하시는 분
• 동료와 실력 향상을 위해 스터디 경험이 있으신분
• 커뮤니케이션 스킬이 좋으신 분","VueJS, TypeScript, React.js, Next.js"
신입,"[ 웹 서비스 UI/UX 및 성능 개선 ]
• JSX, React.js 및 Next.js를 활용한 UI/UX 최적화
• 기존 Next.js 12 버전의 레거시 코드 정리 및 컴포넌트 모듈화
• 효율적인 로직 구조로 전환하여 유지보수성 확보
• 디자인 시스템과 기획에 맞게 화면 구현 및 로직 개발
• 크로스브라우징 및 다양한 디바이스 환경에 최적화된 웹 성능 개선

[ 웹 서비스 신기능 개발 ]
• 서비스 신기능에 따른 새로운 컴포넌트 및 서비스 개발
• REST API와의 연동 및 비동기 데이터 처리 로직 개발
• 사용자 경험(UX) 강화를 위한 UI 고도화

[ 웹뷰를 이용한 웹앱 개발 ]
• 웹과 네이티브 앱 간 상호작용 로직 구현
• 브라우저 및 웹뷰 환경에서의 호환성 테스트

[ 관리자 페이지 개발 ]
• 서비스 운영에 필요한 관리자용 웹 페이지 개발
• 데이터 관리 및 통계를 위한 직관적이고 사용성 높은 UI 설계
• 운영 효율성을 높이기 위한 관리 도구 및 대시보드 개발

[ 기타 업무 ]
• 팀 협업 및 코드 리뷰를 통한 품질 높은 코드 유지
• 신규 기술 학습 및 기존 시스템의 개선 제안
• 배포 파이프라인 자동화(CI/CD) 및 운영 환경에서의 안정성 확보","• 프론트엔드 개발 경력 2년 이상 혹은 그에 준하는 실력이 있으신 분
• JSX 기반의 React.js 및 Next.js 숙련도가 높으신 분
• TypeScript 활용에 능하신 분
• 사용자 경험을 개선하고, 코드를 효율적으로 짜는데에 관심이 많으신 분
• 서버사이드 렌더링(SSR)을 이용한 성능 개선 경험이 있으신 분","• 본인이 맡은 업무에 리더십과 오너십을 갖추신 분
• 빠른 성장과 높은 목표를 성취한 경험이 있으신 분
• 웹뷰를 이용한 모바일앱 내 웹/앱 개발 경험이 있으신 분
• 단순히 주어진 개발을 해내는 것보다, 주도적으로 문제를 발견하고 분석해 해결할 수 있는 분","JavaScript, Kotlin,Swift, React.js, React Native, Flutter, Next.js"
경력,"[IT 개발팀에서는 이런 일을 합니다]
1. 신규 서비스를 개발하고 운영중인 서비스 개선을 위한 개발을 합니다.
• 공동주택 및 집합건물관련 ERP 운영 및 개발
• 사용자 확대를 위한 신규 서비스 개발
• 대외 기관 협력을 위한 연동 서비스 개발
2. 레거시 시스템과 연계한 서비스 개발 및 통합 서비스를 위한 사이트를 개발합니다.
3. 기술 부채 해결을 통해서 서비스 안정성 및 확장성을 확보하는 데 기여합니다.","[저희는 이러한 기술스택과 경험이 있으신 분들을 찾고 있습니다]
• Vue.js, vuex 사용 및 scss구성 경험
• Spring Boot 프레임웍 사용 경험
• Git 사용 및 jenkins 활용 경험
• jira 및 Confluence 활용 협업 능력","• AWS 환경 운영 및 세팅 경험이 있으신 분
• 백엔드에 이해력이 있는 분 (JPA, QueryDSL 등)
• IT 관련 학과 전공하신 분
• 공동주택, 집합건물 관련 개발 경험이 있으신 분
• 관련 자격증을 보유하신 분 (예: ITIL, PMP)
• 대내외 협업 및 소통이 원활하고 적극적이신 분","Git, VueJS, Jenkins, Spring Boot"
경력,"• React.js 기반 웹 애플리케이션 개발
• RESTful API 연동 및 데이터 처리
• 웹 성능 개선 및 유지보수
• 협업 부서와의 다양한 프로젝트 개발 및 운영","• Frontend 개발 업무 경험이 3년 이상이신 분
• React.js 등 웹 프레임워크에 대한 이해를 갖추신 분
• HTML, CSS, JS에 대한 경험이 있으신 분
• RESTful API에 대한 이해를 갖추신 분
• Typescript 사용 경험이 있으신 분","• 기획, 운영, 디자인, 개발 등 다양한 직군과 원활한 의사소통이 가능하신 분
• 다양한 요청사항에 대응하며 뛰어난 후속 처리 능력이 있으신 분
• 테스트 프레임워크에 대한 경험이 있으신 분
• 팀 환경 내에서 개별적으로 또는 협력적으로 일할 수 있는 능력이 있으신 분","React, CSS, HTML, JavaScript, TypeScript, React.js, Restful API"
