경력,주요 업무,자격 요건,우대사항,기술
경력,"• 마케팅 캠페인 및 프로모션을 위한 그래픽 디자인 작업
• 다양한 매체(온라인, 오프라인)를 위한 디자인 작업
• 팀과의 협업을 통해 프로젝트 목표 달성","• 그래픽 디자인 관련 학위 또는 이에 상응하는 경력
• Adobe Creative Suite(Photoshop, Illustrator 등) 에 대한 높은 숙련도
• 팀워크와 커뮤니케이션 능력","• BTL 또는 이벤트 에이전시 유경험자
• 디지털 마케팅 및 소셜 미디어 디자인 경험
• 다양한 디자인 툴 및 프로젝트 관리 경험","Adobe Photoshop
Adobe Illustrator
SketchUp"
경력,"• 브랜드 컨셉에 맞는 시각 디자인 제작 (로고 등)
• SNS 마케팅 콘텐츠 디자인 제작 (배너, 포스터, 썸네일)
• 방송 자막 CG 제작","• 그래픽 디자인 관련 학과 졸업 또는 동등한 실무 경험 3년 이상 보유하신 분
• 트렌드를 반영하고 브랜드 아이덴티티에 맞는 디자인 감각을 갖춘 분
• 원활한 협업과 커뮤니케이션 능력을 갖춘 분
• Adobe Photoshop, Illustrator 등 디자인 툴 활용이 능숙한 분","• UX/UI 디자인 경험 보유자
• 브랜드 마케팅 및 광고 디자인 경험자
• 방송 CG 제작 경험자
• 영어 커뮤니케이션 가능자
• 포커 및 카지노 관련 디자인 경험자","그래픽 디자인
Adobe Photoshop
UI 디자인"
경력,"제품 마케팅 크리에이티브
• Product와 Marketing contents를 위한 시각적 디자인 결과물 제작
• 유관 부서와 협력하여 공동의 목표를 설정하고, 유입 및 구매 전환을 높이는 창의적인 디자인을 구현
• 브랜드 강화 및 자산화에 대한 디자인 전략 수립

마케팅 영상 제작
• 마케팅, 프로덕트팀과 협업하여 고객들을 끌어당길 수 있는 다양한 영상 디자인 결과물 제작
• SNS 광고 콘텐츠 기획 및 제작 (영상 및 이미지)","• Illustrator, Photoshop, Figma 등 그래픽 툴에 능숙한 분
• 온라인 서비스 분야에서의 다채로운 디자인 실무 경험이 있는 분 (총 경력 2년 이상)
• UI/UX와 브랜드 정체성을 고려한 디자인 작업을 수행할 수 있는 분
• 간단한 영상 편집 및 2D 모션 그래픽 제작이 가능한 분
• 시장 트렌드에 민감하며, 능동적으로 역량을 발휘할 수 있는 분
• 적극적인 협업 자세로 다양한 부서와 원활하게 소통할 수 있는 분","• 브랜드 디자인 및 그래픽 디자인에 대한 깊은 이해와 관심을 가진 분
• AI/IT SaaS 제품의 그래픽 및 영상 디자인 경험을 가지신 분
• UI/UX적 사고를 기반으로 고객의 유입을 이끌어보신 분
• SNS 콘텐츠 마케팅 경험이 있는 분
• Premiere Pro, After Effects 등 영상 툴에 능숙한 분
• 함께 성장하고 발전하고자 하는 열정을 지닌 분","그래픽 디자인
Adobe Photoshop
Adobe Illustrator
Figma"
경력,"ㆍ오프라인 인쇄 관련 그래픽 디자인
ㆍ온라인 그래픽 디자인
ㆍ브랜드 관련 그래픽 디자인 기획 및 디자인
ㆍ온 오프 광고 및 홍보 그래픽 디자인","ㆍ오프라인 인쇄 제작물 광고 홍보물 디자인 제작 경험자
ㆍ온라인 브랜드 관련 광고 홍보 디자인 작업 경험자
ㆍ어도비 포토샵, 일러스트 필수 사용자","ㆍ피그마 툴 능숙하게 다루시는 분
ㆍ담당 업무에 대해 책임감과 능동적인 태도를 가지고 계신 분
ㆍ엑셀, 파워포인트, 등 사무 프로그램 능숙 하신 분
ㆍ미드저니등 생성형 AI툴 사용 경험또는 이해도가 높으신 분",
경력,"• 디지털 마케팅 캠페인을 위한 그래픽 디자인 및 콘텐츠 제작(Social Contents, Blog, Newsletter, Brand Film, Advertorial, etc)
• 다양한 플랫폼에 적합한 비주얼 디자인 기획 및 제작
• 크리에이티브 프로세스 전반에 걸친 참여 및 협업(리서치, 아이데이션, 기획, 실행, 제작, 결과 분석 등)
• 디자인 작업 전반의 품질 유지 및 세부적인 완성도 관리
• 신규 비즈니스 및 프로젝트를 위한 피치 작업 지원
• 체계적인 파일 및 프로젝트 관리를 통해 팀의 작업 효율성과 협업 효과 증대","• 3–7년의 그래픽 디자인 또는 비주얼 콘텐츠 제작 경험
• Adobe Creative Suite(Photoshop, Illustrator, InDesign 등)를 능숙하게 다룰 수 있는 능력
• 다양한 디지털 플랫폼에 최적화된 콘텐츠 제작 경험(TikTok, Instagram, LinkedIn, YouTube 등)
• 프로젝트 목표를 충족하는 창의적이고 실행 가능한 콘셉트 개발 역량
• 시각적 스토리텔링 능력과 뛰어난 디자인 감각
• 복잡한 문제를 효율적으로 해결할 수 있는 창의적이고 유연한 사고방식
• 기획부터 실행, 완성까지 모든 과정을 책임감 있게 관리할 수 있는 주도적 업무 태도와 역량
• 최신 디지털 콘텐츠, 그래픽 디자인 트렌드를 파악하고, 제작에 효과적으로 적용할 수 있는 능력","• 마케팅 에이전시 또는 광고 업계에서의 그래픽 디자인 경험
• 다국적 팀 또는 다양한 문화적 배경의 팀과의 협업 경험
• 영어로 기본적인 의사소통이 가능한 커뮤니케이션 능력
• 다수의 프로젝트를 타임라인에 맞게 관리하는 동시에 디테일을 놓치지 않는 분
• Creative Director, Art Director, Designer, Copywriter, Account Executive 등 다양한 직무의 팀원들과 원활하게 소통하고 협업할 수 있는 능력
• 3D/2D 모션 그래픽, 영상 편집, 일러스트레이션 등 디자인 및 콘텐츠 제작 역량 (a big plus!)","타이포그래피
그래픽 디자인
Adobe Photoshop
Adobe Illustrator
Adobe InDesign"
경력,"• 브랜드 아이덴티티를 반영한 그래픽 디자인
• 웹사이트, 모바일 애플리케이션 등 디지털 콘텐츠 디자인
• 웨딩 테마 및 컨셉 기획 + 웨딩 비주얼 디자인 업데이트
• 이벤트 & 캠페인 비주얼 디렉션 (포스터, 배너, SNS 콘텐츠)
• 트렌드 분석을 통해 창의적인 디자인 제안
• 대관 & 브랜드 에이전시 관련 디자인 프로젝트 진행","• 그래픽 디자인 관련 학사 학위 이상
• 디자인 경력 3년 이상
• Adobe Creative Suite (Photoshop, Illustrator 등) 능숙자
• 포트폴리오 제출 가능하신 분 (당신의 감각을 보여주세요!)
• 디테일을 중요하게 생각하는 분
• 팀워크 & 커뮤니케이션 능력이 뛰어난 분","• 프로젝트 관리 및 멀티태스킹 능력이 뛰어난 분
• 트렌드에 민감하고, 창의적인 사고가 가능한 분
• 자율적이면서도 책임감 있는 태도를 가진 분
• 팀원들과 적극적으로 협업하며 긍정적인 에너지를 주는 분","Sketch
브랜딩
그래픽 디자인
Adobe Photoshop
Adobe Illustrator
Figma"
경력,"• 웹사이트 및 모바일 애플리케이션의 시각적 디자인 개발
• 사용자 중심의 인터페이스(UI) 및 사용자 경험(UX) 디자인
• 브랜드 아이덴티티에 부합하는 그래픽 요소 제작
• 마케팅 자료 및 소셜 미디어 콘텐츠 디자인
• 디자인 가이드라인 수립 및 유지보수","• 그래픽/웹 디자인 관련 학위 또는 동등한 실무 경험
• Adobe Creative Suite (Photoshop, Illustrator, XD 등) 및 Figma의 능숙한 사용
• HTML, CSS, JavaScript에 대한 기본적인 이해","• 금융 및 암호화폐에 관심
• 디자인 관련 자격증 보유
• 다국적 기업에서의 근무경험 및 영어 소통
• IR 피칭자료 다뤄본 경험","웹 디자인
그래픽 디자인
Adobe Photoshop
Adobe Illustrator
UI 디자인
Figma"
경력,"• 브랜드 그래픽 디자인
- 브랜드 홍보를 위한 온라인 광고 콘텐츠 디자인, 상세페이지, 제품 패키지 관련 그래픽 디자인을 담당합니다.
- 시각적인 디자인을 통해 E4A 브랜드를 효과적으로 전달할 수 있는 방법을 찾습니다.
- 브랜드 디렉터와 협력하여 일관된 톤앤매너를 유지하면서도 창의적이고 감각적인 결과물을 만듭니다.

• 온라인 웹 콘텐츠 제작
- E4A의 콘텐츠마케터 & MD와 협업하여 온라인 채널별 프로모션에 적합한 콘텐츠를 기획하고 제작합니다.
- 자사몰 및 SNS 채널의 레이아웃 설계, 디자인 유지 및 관리를 담당합니다.","[필수] 마인드셋
• 창의적 사고를 바탕으로 디자인을 제안할 수 있는 분
• 팀 협업을 중요하게 생각하고 원활한 커뮤니케이션이 가능한 분
• 마케팅 목표와 브랜드 전략을 이해하고 디자인에 반영할 수 있는 전략적 사고를 가지신 분
• 유관부서와 함께 더 좋은 결과물을 만들어낼 수 있으신 분

[필수] 스킬셋
• 그래픽 툴(Photoshop, Illustrator 등) 능숙하게 다루시는 분
• 다양한 디지털 플랫폼의 디자인 요구사항에 대한 이해가 있으신 분
• 목적에 맞는 디자인을 스스로 제안하고 제작할 수 있으신 분
• 디자이너 근무 경력 1년 이상","• 제품디자인 경험이 있으신 분
• After Effects/Premiere Pro 활용하여 모션그래픽 제작 및 영상 편집이 가능한 분
• 건강기능식품 업계 경험이 최소 3년 이상 있으신 분 (또는 그에 준하는 역량을 보유하신 분)
• 뷰티 콘텐츠 트렌드에 관심이 많고, 이를 디자인에 반영해 본 경험이 있으신 분
• 커머스 계열 브랜드에서 다양한 매체의 광고 소재, 상세페이지 제작 경험이 있는 분
• 3D 툴(Blender, Unity3D 등)을 통해 그래픽 제작 경험이 있는 분
• 사진 촬영 및 영상 기획/제작 경험이 있는 분","그래픽 디자인
제품 디자인
Adobe Photoshop
Adobe Illustrator
Figma"
경력,"• 브랜드 아이덴티티 디자인 및 시각적 요소 개발
• 음반디자인 및 아티스트 엔터테인먼트 관련 디자인 작업
• 마케팅 캠페인 및 프로모션을 위한 그래픽 디자인 작업
• 디지털 및 인쇄 매체를 위한 디자인 콘텐츠 제작","• 그래픽 디자인 관련 학위 또는 이에 상응하는 경력
• Adobe Creative Suite (Photoshop, Illustrator 등) 사용 능력
• 창의적 문제 해결 능력과 세부 사항에 대한 주의력","• 음반디자인 및 엔터테인먼트 관련 디자인 업무경험
• 디자인 트렌드에 대한 이해와 적용 능력
• 팀 협업 경험 및 커뮤니케이션 능력","타이포그래피
브랜딩
3D
그래픽 디자인
Adobe Photoshop
Adobe Illustrator
Adobe XD"
경력,"• BI 브랜드 이미지 아이덴티티 확립 및 키 비주얼 개발
• 패키지 디자인 개발
• 트렌드 분석 및 디자인 컨셉 기획
• 그래픽 디자인 기획 및 제안
• 부자재 업체 관리 및 양산 컨트롤","• 관련학과 전문학사 이상
• 현업 경력 3년 이상","- 브랜드(CI/ BI) 개발 관련 경험자
- 제품 패키징 관련 경험자(화장품, 생활용품, 제약 등)
- 시제품 제작 및 생산감리 양산 경험자

- 일러스트 아트웍 개발(드로잉) 작업 가능자
- 디자인 프로그램(포토샵, 일러스트레이터 등) 중 상급자
- 컴퓨터 활용 능력이 좋으신 분
- 운전이 가능하신 분
- 영어,중국어 가능자 우대","Adobe Photoshop
Adobe Illustrator"
경력,"• 트레이딩 카드 디자인: 애니메이션, 스포츠, 엔터 IP에 딱 맞는 비주얼 제작!
• 디지털 콘텐츠 제작: 웹배너, 소셜미디어 등 마케팅 디자인으로 빛내주세요.
• 브랜딩 디자인: 브랜드 가이드라인을 따라 감각적으로 작업해요.","• 어도비 툴(포토샵, 일러스트, 인디자인) 능숙자
• 디자인 의도를 자신 있게 설명할 수 있는 커뮤니케이터
• 애니메이션, 엔터, 스포츠 IP에 대한 관심과 열정이 가득한 분
• 협업과 커뮤니케이션에 강점이 있는 분","• 수집 문화에 대해 깊은 이해가 있는 분
• 프로젝트를 처음부터 끝까지 주도적으로 완수한 경험이 있는 분
• 소셜미디어, 웹, 앱 등 다양한 콘텐츠 제작 경험자","서비스 디자인
그래픽 디자인
제품 디자인
Adobe Photoshop
Adobe Illustrator
UI 디자인
Figma"
경력,"• 브랜드 컨텐츠 기획 및 제작
• 편집 관련된 업무에 더 특화된 분을 찾습니다.
• 타이포그라피, 브랜딩, 편집","• 유관 경력 3년 이상
• 편집 툴 사용 관련자
• 원활한 커뮤니케이션 능력을 가지신 분
• 성장하고자 하는 열정을 가지신 분
• 패션 & 디자인 전반에 걸쳐 다양한 브랜드에 대한 관심도가 높으며 폭 넓은 취향으로 디깅을 즐기는 분","• 패션 커머스 비주얼 디자인 관련 경력이 있으신 분
• 비주얼 영역 이외에 브랜딩, 패션에 대한 경험과 이해도를 가지신 분.
• 스위치 브랜드에 대한 이해도가 높으신 분","타이포그래피
브랜딩
그래픽 디자인
Adobe Photoshop
Adobe Illustrator"
경력,"• 웹사이트 유지보수 및 신규 프로젝트 참여
• SNS 콘텐츠 디자인
• 기타 디지털 콘텐츠 및 그래픽 디자인","-포트폴리오 제출 가능자
-포토샵 일러스트 영상프로그램 3D등 디자인 툴 활용 능력 뛰어난 자","-MO Sports의 브랜드를 이해하고 함께 성장하고 싶으신 분
-SNS 및 사이트 운영 유경험자
-스포츠 관련 콘텐츠 디자인 경험자
-꼼꼼하고 빠른 업무처리가 가능한 자
-스타트업경험자 우대",
경력,"• 브랜드 아이덴티티를 반영한 그래픽 디자인 작업을 수행합니다.
• 마케팅 자료 및 광고물의 시각적 요소를 기획하고 제작합니다.
• 웹사이트, 모바일 애플리케이션 등 디지털 콘텐츠의 디자인을 담당합니다.
• 제품 패키지 디자인 및 인쇄물 디자인을 진행합니다.
• 디자인 트렌드를 분석하고 최신 기술을 활용하여 창의적인 디자인을 제안합니다.","• 그래픽 디자인 관련 학사 학위 이상을 소지하신 분이어야 합니다.
• Adobe Creative Suite (Photoshop, Illustrator 등) 사용에 능숙하신 분이어야 합니다.
• 포트폴리오 제출이 가능하신 분이어야 합니다.
• 디자인 관련 경력이 3년 이상 있으신 분이어야 합니다.
• 팀워크와 커뮤니케이션 능력이 뛰어나신 분이어야 합니다.","• UI/UX 디자인 경험이 있으신 분을 우대합니다.
• 영상 편집 및 모션 그래픽 작업이 가능하신 분을 우대합니다.
• 브랜드 디자인 및 아이덴티티 구축 경험이 있으신 분을 우대합니다.
• 다양한 디자인 소프트웨어 사용에 능숙하신 분을 우대합니다.
• 외국어(영어) 능력이 우수하신 분을 우대합니다.",
경력,"브랜드 비주얼 디자인: Ms. Green의 브랜드 아이덴티티를 표현하는 비주얼 디자인 제작
웹디자인: 온라인 몰, 캠페인 페이지, 소셜미디어 콘텐츠 디자인 및 관리
그래픽 디자인: 마케팅 자료(배너, 브로슈어, 광고 소재 등) 및 브랜드 관련 그래픽 콘텐츠 제작
UI/UX 디자인: 브랜드 웹사이트 및 모바일 UI/UX 디자인 기획 및 구현
크리에이티브 프로젝트 협업: 제품 개발팀 및 마케팅팀과 협업하여 디자인 프로젝트 진행","그래픽 디자인 및 웹디자인 경력 3년 이상
Adobe Creative Suite(Photoshop, Illustrator, XD 등) 숙련자
웹디자인 및 UI/UX 디자인에 대한 높은 이해와 경험
창의적이고 세부적인 디자인 작업에 열정이 있는 분
브랜드 아이덴티티 구축 및 비주얼 전략 경험","패션 및 주얼리 인더스트리 경력 보유자
주얼리 또는 패션 관련 제품 디자인 경험
HTML/CSS에 대한 기본 이해 및 간단한 수정 가능
동영상 편집 및 모션그래픽 제작 경험 (After Effects, Premiere Pro 등)
트렌드에 민감하며, 브랜드 전략과 일치하는 크리에이티브 아이디어 제안 능력",
