경력,공고명,기업명,주요 업무,자격 요건,우대사항,기술
경력,백엔드 개발(WEMIX PLAY),위메이드(WEMADE),"• Wemixplay webshop 개발
• Wemixplay console 백엔드 개발
• PG사 연동 백엔드 개발
• 게임사 인터페이스 개발
• 게임플랫폼 백엔드 개발","• 경력 3년 ~ 7년이신 분
• Java, Spring, Spring Boot 개발 가능하신 분
• DB, NoSQL Database 사용 가능하신 분
• REST API 개발 능통하신 분
• MVC 기반의 웹서비스 구축 가능하신 분
• 원만한 커뮤니케이션이 가능하신 분","• 대용량 데이터베이스 경험 있으신 분
• Blockchain 서비스 개발 경험 있으신 분
• 멀티 스레드 개발 경험 있으신 분","Java, MVC, NoSQL, Spring Boot"
경력,Backend Developer (5-12년),크몽(kmong),"• 도메인 주도 설계 및 클린 아키텍처 지향 개발
• 기존 PHP 서비스 운영 및 Kotlin 기반의 마이크로서비스로 전환
• 기존 크몽 프로덕트 유지 보수
• AWS 기반 제품 인프라 운영 및 모니터링","• 5년 이상 12년 이하의 경력이 있는 분
• Kotlin/Java Spring 활용하여 시스템 개발 경험이 있는 분
• 도메인 주도 설계 & 개발에 대한 이해가 있는 분
• 지속가능한 단위 테스트 개발에 대한 이해가 있는 분
• 기존 시스템의 구조를 분석하여 재작성하고 개선하는 일을 즐기는 분
• E-Commerce를 경험하고, 이해하고 있는 분
• AWS 환경에서 다양한 서비스를 운영하고 구축한 경험이 있으신 분
• 대용량 서비스에 대한 경험이 있으신 분
• 개발팀 이외의 팀과 협업을 하더라도 원활하게 커뮤니케이션 할 수 있는 분
• 동료에게 본인의 지식을 잘 전파 할 수 있는 분
• 지속적으로 자기개발을 하는 분
• 문제에 대해서 심도있게 고민하고, 해결해 본 경험이 있는 분","• 기존 시스템을 MSA 환경으로 전환한 경험이 있으신 분
• 대용량 서비스 개발 또는 운영 경험이 있으신 분
• 이벤트 드리븐 아키텍처에 대한 경험이 있으신 분",
경력,Back-end Developer (Junior),비마이프렌즈,"• 커머스 도메인내의 백엔드 개발을 담당합니다.
• AWS EKS 를 기반으로 한 크리에이터 이코노미 SaaS 개발에 참여할 수 있습니다.
• 글로벌 서비스를 개발 / 운영할 수 있습니다.","• 학력 및 전공 무관
• Kotlin 혹은 Java 백엔드 개발 경험 3년 이상이신 분
• 클라우드 네이티브 환경에서 개발 경험이 있으신 분
• RDB 혹은 NoSQL DB 개발 경험이 있으신 분
• 타 직무 수행자와의 원활한 커뮤니케이션을 하실 수 있는 분
• 코드 리뷰에 대해 열린 마음을 소유하고 계신 분
• 개발 업무를 좋아하고 업무 수행 과정에서 동료들과 함께 성장한다는 믿음을 보유하신 분","• 서비스 설계부터 서비스 오픈까지 경험이 있으신 분
• 이벤트 기반 아키텍처 및 비동기 처리 시스템 운영 경험이 있으신 분
• ORM (JPA) 기반의 개발 경험이 있으신 분

[필요 역량]
• Test Code 작성하는 것을 좋아합니다.
• Spring Framework 에 대한 높은 이해도가 있습니다.
• 긍정적인 관점으로 상황과 업무를 바라보는 태도를 가지고 있습니다.
• 해야 할 일이나 문제를 스스로 찾아서 처리하는 능력이 있습니다.
• 잘 모르는 부분은 팀원들에게 모른다고 말할 수 있는 자신감이 충분합니다.",
경력,Backend Engineer,티맵모빌리티,"• 티맵 공통 시스템(인증, 약관, 회원 등)의 백엔드 서버를 설계, 개발 및 운영합니다.
• 다양한 신규 서비스에서 요구하는 기능을 아키텍처 설계부터 개발, 배포, 운영까지 전반적인 라이프사이클을 주도적으로 수행합니다.
• 고가용성(HA) 및 무중단 서비스 운영을 위한 최적화, 성능 개선, 장애 대응 및 모니터링 등 안정적인 서비스 제공을 위한 다양한 기술적 활동을 수행합니다.","• Backend 개발 경력 5년 이상이거나 이에 준하는 경험을 보유하신 분
• Public Cloud 환경에 대한 이해 및 실무 경험이 있으신 분
• 대용량 트래픽을 처리할 수 있는 아키텍처 설계 및 고성능 시스템 개발 경험을 보유하신 분
• 다양한 도메인의 전문가(프론트엔드, 데이터, 인프라 등)와 원활한 협업이 가능한 커뮤니케이션 역량을 갖추신 분

• [사용 기술] Java, Kotlin, Python, Spring Framework, Docker, EKS, RDB, NoSQL, Redis, Kafka, Airflow, OpenSearch 등","• 대규모 트래픽을 처리하는 서비스의 설계, 개발 및 운영 경험을 보유하신 분
• AWS 기반의 클라우드 환경에서 애플리케이션을 설계, 개발, 운영한 경험이 있으신 분
• 컨테이너 오케스트레이션 환경(Kubernetes 등)에서 MSA(Microservices Architecture) 시스템을 설계 및 운영해보신 분",
경력,Backend Engineer (Go),센트비(Sentbe),"[기술 스택&사용 툴]
• Golang 1.22+
• Gin, gRPC, gRPC-Gateway
• AWS EKS(k8s), PostgreSQL, Redis
• Git, Docker, Github Action, ArgoCD
• Jira, Confluence, Slack


[합류 후 담당 업무 입니다]
• SentBe 글로벌 확장 및 파트너 연계를 위한 백엔드 시스템을 개발 및 운영합니다
• 센트비 구성원이 사용하는 백오피스 도구의 개발과 유지 보수를 담당합니다
• 비즈니스 요구 사항에 따른 적합한 개발 방법 및 프로세스를 설계합니다
• 단순한 유지 보수가 아닌 고객의 문제를 함께 정의하고, 기술적 해결책을 제안 및 고도화합니다","• 서비스 개발 및 운영 경험이 6년 이상 있으시거나 그에 준하는 역량을 갖추신 분
• Golang을 활용한 개발 및 운영 경험이 1년 이상 있으신 분
• 복잡한 레거시 환경에서 시스템 개선 경험이 있으신 분
• 도메인을 빠르게 이해하고 설계부터 구현까지 전 과정을 진행한 경험이 있으신 분
• 주도적으로 문제를 정의하고 해결책을 제안할 수 있는 분","• Java/Spring 서비스 경험이 있으신 분
• 대규모 데이터 및 트래픽 처리 운영 경험이 있으신 분
• 글로벌 서비스 개발 및 운영에 능숙하신 분
• DDD(Domain Driven Design)에 대한 이해도가 있으신 분
• 고객의 관점에서 문제를 해결하기 위해 기술적으로 고민하시는 분
• 수준 높은 코드 리뷰 문화를 중요하게 생각하시는 분
• 예상치 못한 결과에 대해 책임을 묻기보다 원인을 분석하고 더 나은 결과를 도출하려는 태도를 가지신 분
• 존중과 배려를 기반으로 커뮤니케이션하며 계획을 바탕으로 투명한 공유를 통해 협업하시는 분
• 동료와 함께 성장의 중요성을 이해하고 학습을 통해 성장하고자 하는 욕구가 있으신 분","Confluence, Git, GitHub, JIRA, Redis, AWS, Docker, Golang"
경력,백엔드 개발자,픽스커뮤니케이션,"• 서비스 요구사항 분석 및 설계
• ERP 서비스 유지/보수
• 고객이 만족할 수 있는 프로그램을 재밌게 개발
• PHP, RDBMS 유경험자 우대",• 개발이 즐거운 개발자,"• PHP, RDBMS 유경험
• 적극적으로 업무를 처리하며 커뮤니케이션이 원활한 분
• Git, Figma, ERD, Notion 등에 익숙한 분","Git, Linux, MySQL, JavaScript,PHP, Python, SQL, Docker"
경력,Java(Back-End)개발자,제네시스네스트,Spring기반의 Back-End개발,"• 기본적인 전산학적 지식에 대한 이해도 중요.
• Java / Linux 기반의 서버 개발 경험
• Spring 기반 서비스 개발 경험",,"Java, Spring Boot"
경력,"Software Engineer, Back-end",피에로컴퍼니,"• 전자기기 구독 플랫폼 ‘폰고(phoneGO)’ 서비스의 백엔드 유지보수 및 개선
• ‘폰고(phoneGO)’ 백오피스(관리자 서비스)에 대한 백엔드 설계, 구현, 테스트, 배포
• CI/CD 파이프라인 구축 및 관리
• 코드 리뷰를 통해 다른 엔지니어와 협업","• 컴퓨터공학과 전공
• 2년 이상의 웹 백엔드 개발 경험 혹은 그에 준하는 실력
• Git 등의 분산 버전 관리 시스템 이용에 능숙한 분
• Python 및 Django 또는 이에 상응하는 개발 경험
• RESTful API 설계 및 구현 경험
• 웹 개발 전체 프로세스(디자인, 설계, 구현, 테스트, 배포, 운영)에 대한 높은 이해
• 자신이 만드는 서비스에 대한 책임과 열정을 가지고 주도적으로 개발, 개선할 수 있는 분","• Django Framework 에 대한 깊은 이해 및 경험 우대
• PostgreSQL 에 대한 깊은 이해 및 경험 우대
• Docker, Kubernetes 환경에 대한 깊은 이해 및 경험 우대
• CI/CD 파이프라인 구축 경험 우대
• AWS 등 클라우드 서비스에 대한 경험 우대
• Datadog 등 모니터링 서비스에 대한 경험 우대
• 테스트 코드 작성 및 테스트 자동화 경험 우대
• 기획 및 설계에 적극적인 참여 경험 우대",
경력,[hourplace] Back-end 개발자,먼치팩토리,"아워플레이스의 백엔드 개발자는 플랫폼의 핵심 시스템을 설계, 구축, 유지 관리하는 중요한 역할을 담당합니다. 안정적이고 확장 가능한 인프라를 제공하며, 데이터 흐름을 최적화하고 사용자 경험을 뒷받침하는 API를 개발합니다. 특히 사용자 맞춤형 경험을 제공하기 위해 노출 알고리즘 개발 및 최적화에 기여합니다.

주요 업무
• 시스템 설계 및 개발
* 안정적이고 확장 가능한 서버 아키텍처 설계
* 대규모 트래픽을 처리할 수 있는 데이터베이스 설계 및 최적화
• 노출 알고리즘 설계 및 최적화
* 사용자 맞춤형 추천 시스템 개발 및 유지
* 검색 결과 및 콘텐츠 노출 알고리즘 설계
* AI를 활용한 추천 모델 연구 및 적용
* 실시간 데이터 처리 및 개인화 전략 구현
• 플랫폼 유지 및 개선
* 서비스 성능 모니터링 및 문제 해결
* 데이터 보안 정책 수립 및 구현
* 코드 품질 및 테스트 프로세스 개선
• 협업 및 지원
* 프론트엔드, 디자인, CX 팀과 협력하여 사용자 중심 기능 구현
* 제품 로드맵에 따른 개발 일정 관리
* 기술 문서 작성 및 팀 내 지식 공유","• 5년 이상의 백엔드 개발 경험
• 데이터베이스 설계 및 최적화 경험
• 클라우드 환경(AWS, GCP, Azure 등)에서의 서비스 운영 경험
• API 설계 및 개발 경험
• CI/CD 및 테스트 자동화에 대한 이해
• 데이터 기반 의사결정 및 알고리즘 개발 경험","• 마켓플레이스 플랫폼 또는 대규모 웹 서비스 구축 경험
• 추천 시스템, 검색 엔진, 또는 머신러닝 모델 개발 경험
• 데이터 보안 및 개인정보 보호 관련 경험
• 스타트업 환경에서의 개발 경험",
경력,백엔드 개발자 (4년 이상),스토어링크,"- 스토어링크 백엔드 서비스 개발 및 운영
- 퍼그샵 백엔드 서비스 개발 및 운영
- 신규 서비스의 DB 모델링, 도메인 분석, 설계, 개발 및 운영","[ 어떤 조건이 필요한가요? ]
- 웹 어플리케이션 백엔드 개발 4년 이상 경력이 있는 분 (필수)
- Java/Kotiln 중에서 하나 이상의 프로그래밍 언어에 능숙하신 분
- Spring Framework(Spring Boot) 를 이용한 웹 애플리케이션 개발 경험과 문제해결 능력이 있으신 분
- REST API 설계 및 개발 경험이 있으신 분
- ORM 기술에 거부감이 없고 능숙하게 다룰 수 있는 분
- RDBMS 기반의 웹어플리케이션 모델링/개발 능력이 있으신 분

[주요 기술 스택]
- Spring Boot, Webflux/MVC, Kotlin/Java, JPA, MySQL, JDBC/R2DBC, Redis, Gradle
- 환경 : AWS, Elastic Beanstalk, Aurora Serverless, Elastic Cache, Jenkins, Github Actions
- 협업 도구: Github, Notion, JIRA, Swagger, Figma, Discord
- 개발 도구 : IntelliJ","[ 이런 점이 있으면 더욱 좋아요! ]
- Spring Webflux 사용 경험이 있으신 분
- 운영 도중 발생한 장애를 겪고 스스로 고민해 해결해보신 분
- 객체지향 프로그래밍 원리와 SOLID 원칙을 깊이 이해하고 적용할 수 있는 분
- 테스트 코드 작성과 코드 리뷰 및 피드백을 긍정적으로 받아들일 수 있는 자세를 가진 분
- 지속적인 학습과 성장을 추구하는 자기주도적인 열정을 가진 분",
경력,서버 백엔드 개발자 (Node.js),티피씨인터넷,"• LLM을 이용한 챗봇 개발
• 인하우스 오퍼레이션 툴 및 서비스 관리 페이지 개발
• 보다 나은 개발, 빌드, 배포 환경을 위한 개선
• 관련 Test Code 작성
• 최적화 작업
• 통계 작업
: 서비스 마케팅, 운영에 도움을 줄 수 있는 지표 추출
: 컨텐츠 모니터링 보안 강화","• 3~5년의 관련 경력이 있으신 분
• 전산 관련 전공자 혹은 그에 준하는 지식을 보유하신 분
• 3년 이상의 JavaScript, TypeScript API 서버/백엔드 개발 경험이 있으신 분
: 혹은 이에 준하는 웹서버 개발 경험 (Django, Flask, Rails, Spring 등)
• AWS / Azure / Aliyun 등의 클라우드 서비스 사용 경험
• DAU 100 이상인 서비스 개발 및 운영 경험이 있으신 분

* 현재 Node.js 개발 환경에서의 경험이 많지 않으시더라도, 새로운 개발 환경에 적응할 수 있는 자신감 및 경험이 있으시다면 만나 뵙고 싶습니다.","• ChatGPT 등 AI 산업에 관심 있으신 분
• 블록체인 개발 경험이 있으신 분
• 대용량 데이터 및 트래픽을 고려한 개발 경험이 있으신 분
• CI/CD에 대한 이해도와 경험을 보유하신 분
• 퍼포먼스 분석 및 최적화 경험이 있으신 분
• 테스트 중요성에 대한 이해도와 테스트 자동화 경험이 있으신 분
• 트러블 슈팅 및 문제 해결 경험이 있으신 분
• Git 및 협업툴(Slack, Google Workspace 등)을 통한 업무 및 커뮤니케이션 경험이 있으신 분","Azure, Firebase, JavaScript, Node.js, TypeScript, AWS, API, NoSQL, Spring Framework"
